Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
110,TLMK 2,147.16,+,0.6,Tone,118.8,88.5,23,NN,FM,5,S,,,,,
111,TLMK 3,440.175,+,5,Tone,100,88.5,23,NN,FM,25,S,,,,,
112,TLMK 4,441.25,+,5,Tone,118.8,88.5,23,NN,FM,25,S,,,,,
113,TLMK 5,444.425,+,5,Tone,107.2,88.5,23,NN,FM,25,S,,,,,
114,TLMK 6,146.56,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
115,TLMK 7,147.42,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
116,TLMK 8,147.5,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
117,TLMK 9,144.95,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
118,CLAT 1,145.45,-,0.6,Tone,118.8,88.5,23,NN,FM,5,S,,,,,
119,CLAT 2,146.76,-,0.6,Tone,118.8,88.5,23,NN,FM,5,S,,,,,
120,CLAT 3,145.49,-,0.6,Tone,118.8,88.5,23,NN,FM,5,S,,,,,
121,CLAT 4,146.58,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
122,CLAT 5,147.58,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
123,CLAT 6,146.4,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
124,CLAT 7,146.48,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
125,CLAT 8,144.93,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
126,CLAT 9,144.96,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
127,LINC 1,145.37,-,0.6,Tone,167.9,88.5,23,NN,FM,5,S,,,,,
128,LINC 2,147.04,+,0.6,Tone,100,88.5,23,NN,FM,5,S,,,,,
129,LINC 3,147,+,0.6,Tone,136.5,88.5,23,NN,FM,5,S,,,,,
130,LINC 4,146.78,-,0.6,Tone,156.7,88.5,23,NN,FM,5,S,,,,,
131,LINC 5,146.58,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
132,LINC 6,145.09,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
133,LINC 7,144.95,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
135,YMHL 1,441.8,+,5,Tone,114.8,88.5,23,NN,FM,25,S,,,,,
136,YMHL 2,146.64,-,0.6,Tone,100,88.5,23,NN,FM,5,S,,,,,
137,YMHL 3,442.55,+,5,Tone,100,88.5,23,NN,FM,25,S,,,,,
138,YMHL 4,146.4,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
139,YMHL 5,147.52,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
140,YAM-10,144.96,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
141,YAM-11,144.92,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
142,POLK 1,147.02,+,0.6,Tone,186.2,88.5,23,NN,FM,5,S,,,,,
143,POLK 2,145.35,-,0.6,Tone,186.2,88.5,23,NN,FM,5,S,,,,,
144,POLK 3,145.33,-,0.6,Tone,186.2,88.5,23,NN,FM,5,S,,,,,
145,POLK 4,146.5,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
146,POLK 5,144.97,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
148,MARN 1,145.29,-,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
149,MARN 2,145.19,-,0.6,Tone,100,88.5,23,NN,FM,5,S,,,,,
150,MARN 3,146.46,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
151,MARN 4,145.07,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
152,MARN 5,431.2,,5,,88.5,88.5,23,NN,FM,25,S,,,,,
153,HOOD 1,147.2,+,0.6,Tone,100,88.5,23,NN,FM,5,S,,,,,
154,HOOD 2,444.9,+,5,Tone,100,88.5,23,NN,FM,25,S,,,,,
155,HOOD 3,147.1,+,0.6,Tone,100,88.5,23,NN,FM,5,S,,,,,
156,HOOD 4,147.5,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
157,HOOD 5,146.46,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
158,HOOD 6,445.5,,5,,88.5,88.5,23,NN,FM,25,S,,,,,
159,HOOD 7,145.75,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
160,HOOD 8,440.75,,5,,88.5,88.5,23,NN,FM,25,S,,,,,
161,SMPX01,146.4,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
162,SMPX02,146.42,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
163,SMPX03,146.44,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
164,SMPX04,146.46,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
165,SMPX05,146.48,,0.6,,88.5,88.5,23,NN,FM,5,S,,,,,
